Label,Location,Manufacturer,Model,Firmware,Health,Inlet 1 L1 Current (A),Inlet 1 L2 Current (A),Inlet 1 L3 Current (A),Inlet 2 L1 Current (A),Inlet 2 L2 Current (A),Inlet 2 L3 Current (A),Inlet 3 L1 Current (A),Inlet 3 L2 Current (A),Inlet 3 L3 Current (A),Inlet 4 L1 Current (A),Inlet 4 L2 Current (A),Inlet 4 L3 Current (A),Active Power (W),Apparent Power (VA),Inlet Temperature (F),Belongs to
SJE08PDUD,,Raritan,PX2-5339R,3.2.30.5-43188,Good,1.4,2.3,1.2,,,,,,,,,,499.0,539.0,,Rack 3
ETSR2-Z2E14-PDUA,,Raritan,PX3-5434R,3.1.0.5-42165,Good,3.379,,,,,,,,,,,,668.0,695.0,,Z2E14
ETSR2-Z2E08-PDUD,Unknown,Raritan,DPXR8A-20L6,1.4.0-9851,Good,6.35,,,,,,,,,,,,1181.0,1290.0,,Z2E08
SJE08PDUB,,Raritan,PX2-5339R,3.2.30.5-43188,Good,1.4,2.4,1.4,,,,,,,,,,528.0,562.0,,Rack 2
SJE08PDUC,,Raritan,PX2-5339R,3.2.30.5-43188,Good,1.3,2.2,1.2,,,,,,,,,,481.0,520.0,,Rack 3
dfwsav-3010pdub,DFW/SAVVIS,Raritan,PX-5522,1.5.8-11272,Good,2.25,3.29,4.03,,,,,,,,,,945.0,1080.0,,3010
SJE08PDUA,,Raritan,PX2-5339R,3.2.30.5-43188,Good,1.5,2.5,1.3,,,,,,,,,,548.0,582.0,,Rack 2
ETSR1J5PDUA,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,5.8,5.7,4.6,,,,,,,,,,1797.0,1873.0,69.6,J-5
seamsrpducab15-1-1,Unknown,Raritan,DPXS20-20L,1.5.8-11272,Good,5.06,,,,,,,,,,,,554.0,606.0,,15-1
NOI25A-1B-MUX1,,Raritan,PX3TS-1469R,3.2.10.5-42978,Good,1.789,0.073,,,,,,,,,,,342.0,432.0,78.4,""
7th West px-row1-rack1,,Raritan,PX2-5844R,3.1.0.5-42165,Good,5.7,,,,,,,,,,,,1253.0,1308.0,73.2,7th floor IDC – West
Mil-pdu-1,,Raritan,PX2-2488C,3.1.0.5-42165,Good,1.1,,,,,,,,,,,,214.0,237.0,,Cab 1
bar-pdu-1,Unknown,Raritan,DPXS12A-16,1.3.17-9504,Good,1.66,,,,,,,,,,,,297.0,388.0,,Barcelona
ATSRG2PDUA,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,1.5,1.8,1.5,,,,,,,,,,527.0,580.0,72.0,G2
ATSRG3PDUA,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,2.3,1.9,0.8,,,,,,,,,,520.0,543.0,74.7,G3
noida132-6fitlab-r5-leftpdu,,Raritan,PX2-2493,3.1.0.5-42165,Good,1.2,,,,,,,,,,,,134.0,272.0,,Rack 5
NOI25A-1F-IDC-Rack2,,Raritan,PX2-5844R,3.1.0.5-42165,Good,4.9,,,,,,,,,,,,1066.0,1143.0,72.1,""
NOI25A-3F-IDC2-L3-Rack1,,Raritan,PX2-5844R,3.1.0.5-42165,Good,6.6,,,,,,,,,,,,1446.0,1505.0,76.5,""
WTSRTELCO4PDUA,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,1.8,1.9,3.2,,,,,,,,,,721.0,759.0,,Telco-4
dfwsav-3010pdua,DFW/SAVVIS,Raritan,PX-5522,1.5.8-11272,Good,2.55,1.62,2.69,,,,,,,,,,606.0,827.0,,3010
bru-pdu-1,,Raritan,PX2-2488C,3.1.0.5-42165,Good,2.8,,,,,,,,,,,,567.0,652.0,,Cab 1
SJA02MPOEATS,,Raritan,PX3TS-1147R,3.1.0.5-42165,Good,0.088,3.472,,,,,,,,,,,402.0,424.0,,Telco rack
du1pdu-e11-2,,Raritan,PX3-5466R-A4D1,3.1.0.5-42165,Good,7.95,,,,,,,,,,,,1712.0,1814.0,,E-11
ATSRA0PDUB,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,1.7,2.1,1.5,,,,,,,,,,455.0,639.0,63.3,A0
4th West px-row1-rack1,,Raritan,PX2-5844R,3.1.0.5-42165,Good,6.3,,,,,,,,,,,,1396.0,1447.0,78.6,4th floor IDC – West
du1pdu-e10-2,,Raritan,PX3-5466R-A4D1,3.1.0.5-42165,Good,11.126,,,,,,,,,,,,2351.0,2532.0,,E-10
du1pdu-e10-1,,Raritan,PX3-5466R-A4D1,3.1.0.5-42165,Good,11.838,,,,,,,,,,,,2549.0,2690.0,,E-10
du1pdu-e11-1,,Raritan,PX3-5466R-A4D1,3.1.0.5-42165,Good,6.922,,,,,,,,,,,,1438.0,1573.0,67.6,E-11
noida132-6fitlab-r6-leftpdu,,Raritan,PX2-2493,3.1.0.5-42165,Good,1.1,,,,,,,,,,,,160.0,250.0,,Rack 6
ham-mdc-pdu5,,Raritan,PX2-2488,3.1.0.5-42165,Good,1.3,,,,,,,,,,,,262.0,290.0,,4th fl Rack3
Mil-pdu-3,,Raritan,PX2-2190CR,3.1.0.5-42165,Good,3.4,,,,,,,,,,,,693.0,778.0,,Rack 2
ATSRG2PDUB,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,2.1,1.9,1.7,,,,,,,,,,639.0,681.0,72.1,G2
WTSRTELCO4PDUB,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,1.8,1.8,3.1,,,,,,,,,,712.0,749.0,,Telco-4
ham-mdc-pdu6,,Raritan,PX2-2488,3.1.0.5-42165,Good,0.8,,,,,,,,,,,,132.0,188.0,,4th fl Rack3
WTSRTELCO3PDUB,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,1.8,1.9,3.2,,,,,,,,,,724.0,762.0,,Telco-3
dfwsav-3107pdua,DFW/SAVVIS,Raritan,PX-5902T,1.5.8-11272,Good,4.57,5.32,5.19,,,,,,,,,,1612.0,1761.0,,3107
WTSRTELCO3PDUA,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,1.9,1.8,3.3,,,,,,,,,,744.0,783.0,,Telco-3
DFWSAV-3102PDUB,Unknown,Raritan,PX-5522,1.5.8-11272,Good,4.69,4.69,0.0,,,,,,,,,,904.0,988.0,,3102
ATSRG3PDUB,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,3.0,2.7,1.8,,,,,,,,,,813.0,879.0,72.1,G3
DFWSAV-3001PDUB,Unknown,Raritan,PX-5522,1.5.8-11272,Good,6.52,5.74,1.32,,,,,,,,,,1349.0,1410.0,,3001
ATSRG6PDUA,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,1.6,1.7,1.6,,,,,,,,,,535.0,585.0,70.7,G6
dfwsav-3103pdub,DFW/SAVVIS,Raritan,PX-5902T,1.5.8-11272,Good,4.03,4.03,3.83,,,,,,,,,,1349.0,1410.0,,3103
NOI25A-3F-IDC1-L2-Rack2,,Raritan,PX2-5844R,3.1.0.5-42165,Good,5.8,,,,,,,,,,,,1234.0,1323.0,,""
bru-pdu-2,pdu-brussels-2,Raritan,DPXR8A-16,1.3.5-8847,Good,1.75,,,,,,,,,,,,325.0,406.0,65.3,Rack 1
seamsrpducab2-2-1,,Raritan,PX2-5339R,3.1.0.5-42165,Good,2.0,2.0,3.5,,,,,,,,,,762.0,824.0,,2-2
bru-pdu-3,,Raritan,PX2-2190CR,3.1.0.5-42165,Good,1.3,,,,,,,,,,,,270.0,307.0,,Rack 2
ETSR1A5PDUB,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,2.1,2.6,2.2,,,,,,,,,,240.0,803.0,72.3,A-5
ETSR1A5PDUA,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,4.6,4.9,4.7,,,,,,,,,,1172.0,1666.0,72.5,A-5
ham-mdc-pdu7,,Raritan,PX2-2488,3.1.0.5-42165,Good,3.3,,,,,,,,,,,,673.0,755.0,,4th fl Rack2
seamsrpducab351,Unknown,Raritan,DPXS20-20L,1.3.5-7832,Good,4.34,,,,,,,,,,,,485.0,507.0,,3-5
seamsrpducab2-4-1,,Raritan,PX2-5339R,3.1.0.5-42165,Good,1.5,3.0,2.0,,,,,,,,,,660.0,721.0,82.6,2-4
seamsrpdu15-2-2,Unknown,Raritan,DPXS20-20L,1.3.5-7832,Good,2.9,,,,,,,,,,,,340.0,371.0,,15-2
Noida132-3FITLAB-R3-LeftPDU,,Raritan,PX2-2493,3.0.4.5-41800,Good,2.5,,,,,,,,,,,,451.0,567.0,,Rack 3
seamsrpducab21-4-1,Seattle MSR cab 21,Raritan,DPXS20-20L,1.4.1-10051,Good,12.91,,,,,,,,,,,,1410.0,1475.0,,21-4
seamsrpducab2-4-2,,Raritan,PX2-5339R,3.1.0.5-42165,Good,2.3,3.7,1.9,,,,,,,,,,825.0,881.0,,2-4
seamsrpducab2-2-2,,Raritan,PX2-5339R,3.1.0.5-42165,Good,2.0,2.1,3.5,,,,,,,,,,762.0,823.0,,2-2
seamsrpducab352,Unknown,Raritan,DPXS20-20L,1.3.5-7832,Good,5.19,,,,,,,,,,,,580.0,606.0,,3-5
ber-pdu-1,,Raritan,PX2-2488,3.1.0.5-42165,Good,4.5,,,,,,,,,,,,941.0,1033.0,,Rack-1
seamsrpducab121,Unknown,Raritan,DPXR20-20L,1.3.5-7832,Good,4.24,,,,,,,,,,,,464.0,485.0,,1-2
seamsrpdu9-2-1,seattle msr cab 9-2,Raritan,DPXR20-20L,1.4.1-10051,Good,2.08,,,,,,,,,,,,18.0,554.0,,9-2
seamsrpdu21-1-1,seattle msr cab 21,Raritan,PX-5464T,1.5.0-10316,Good,3.37,,,,,,,,,,,,464.0,692.0,,21-1
seamsrpdu15-3-2,Unknown,Raritan,DPXS20-20L,1.3.5-7832,Good,7.98,,,,,,,,,,,,904.0,945.0,,15-3
seamsrpducab122,Unknown,Raritan,DPXR20-20L,1.3.5-7832,Good,3.83,,,,,,,,,,,,425.0,444.0,,1-2
seamsrpdu21-1-2,seattle msr cab 21-1,Raritan,PX-5464T,1.5.0-10316,Good,3.46,,,,,,,,,,,,485.0,724.0,,21-1
seamsrpdu23-4-1,Unknown,Raritan,DPXR20-20L,1.3.5-7832,Good,6.35,,,,,,,,,,,,724.0,757.0,,23-4
seamsrpducab15-5-2,seattle msr cab 15-5,Raritan,PX-5464T,1.5.0-10316,Good,3.29,,,,,,,,,,,,425.0,692.0,,15-5
seamsrpducab342,Unknown,Raritan,DPXR20-20L,1.3.5-7832,Good,0.82,,,,,,,,,,,,78.0,93.0,,3-4
seamsrpdu9-1-1,seattle msr cab 9-1,Raritan,DPXR20-20L,1.4.1-10051,Good,2.03,,,,,,,,,,,,228.0,238.0,,9-1
seamsrpdu23-3-1,Unknown,Raritan,DPXR20-20L,1.3.5-7832,Good,0.0,,,,,,,,,,,,0.0,0.0,,23-3
nycidcpdu05,USA - NYC - 1540 Broadway - 17th Floor - IDC,Raritan,DPXR20-20L,1.5.8-11272,Good,2.75,,,,,,,,,,,,249.0,340.0,,""
dfwsav-3003pdub,DFW/SAVVIS,Raritan,PX-5522,1.5.8-11272,Good,2.08,3.21,2.37,,,,,,,,,,827.0,904.0,,3003
seamsrpdu23-4-2,Unknown,Raritan,DPXR20-20L,1.3.5-7832,Good,6.68,,,,,,,,,,,,791.0,791.0,,23-4
seamsrpducab15-5-1,seattle msr cab 15-5,Raritan,PX-5464T,1.5.0-10316,Good,3.21,,,,,,,,,,,,406.0,662.0,,15-5
nycidcpdu02,USA - NYC - 1540 Broadway - 17th Floor - IDC,Raritan,DPXS20-20L,1.5.8-11272,Good,1.98,,,,,,,,,,,,208.0,228.0,,""
seamsrpdu9-4-1,seattle msr cab 9-4,Raritan,DPXR20-20L,1.4.1-10051,Good,1.98,,,,,,,,,,,,18.0,199.0,,9-4
seamsrpdu9-4-2,seattle msr cab 9-4,Raritan,DPXR20-20L,1.4.1-10051,Good,2.31,,,,,,,,,,,,260.0,272.0,,9-4
Noida132-3FITLAB-R2-LeftPDU,,Raritan,PX2-2493,3.1.0.5-42165,Good,2.9,,,,,,,,,,,,523.0,670.0,,Rack 2
seamsrpdu19-3-1,Unknown,Raritan,DPXS20-20L,1.3.5-7832,Good,5.32,,,,,,,,,,,,554.0,634.0,,19-3
seamsrpdu15-3-1,Unknown,Raritan,DPXS20-20L,1.3.5-7832,Good,8.18,,,,,,,,,,,,945.0,945.0,,15-3
seamsrpducab21-4-2,seattle MSR row 21 cab 4,Raritan,DPXS20-20L,1.4.1-10051,Good,14.29,,,,,,,,,,,,1542.0,1685.0,,21-4
seamsrpducab16-1-2,Seattle msr cab 16-1,Raritan,PX-5119,1.5.5-10603,Good,3.05,5.32,3.13,,,,,,,,,,1129.0,1290.0,,16-1
ETSR2Z2C4PDUB,,Raritan,PX2-5339R,3.2.30.5-43188,Good,10.3,9.5,6.8,,,,,,,,,,2967.0,3115.0,,Z2C04
ETSR2Z1E10BPDUA,,Raritan,PX2-5339R,3.2.30.5-43188,Good,7.8,3.6,5.3,,,,,,,,,,1785.0,1855.0,78.8,Z1E10(B)
min-idc307-pdu01,,Raritan,PX2-2288R-N1,3.1.0.5-42165,Good,3.6,,,,,,,,,,,,699.0,753.0,70.0,Rack #1
tyo19b-pdu-14,,Raritan,PX3-5497JV,3.2.30.5-43188,Good,3.785,,,,,,,,,,,,674.0,748.0,,NetworkRack1
ATSRB0PDUA,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,1.7,2.3,2.3,,,,,,,,,,410.0,721.0,,B0
ETSR2Z1E10APDUA,,Raritan,PX2-5339R,3.2.30.5-43188,Good,7.6,3.7,5.1,,,,,,,,,,1739.0,1805.0,76.1,Z1E10(A)
seamsrpdu15-2-1,Unknown,Raritan,DPXS20-20L,1.3.5-7832,Good,10.81,,,,,,,,,,,,1181.0,1234.0,,15-2
ETSR2Z2C4PDUA,,Raritan,PX2-5339R,3.2.30.5-43188,Good,3.7,1.3,4.5,,,,,,,,,,959.0,1019.0,,Z2C04
ETSR2Z1E5.5APDUA,,Raritan,PX2-5339R,3.2.30.5-43188,Good,3.8,4.6,1.4,,,,,,,,,,1010.0,1068.0,,Z1E5.5(A)
ATSRC8PDUA,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,5.6,5.9,5.7,,,,,,,,,,1935.0,2055.0,,C8
ATSRC0PDUB,,Raritan,PX2-5522-E2N1,3.1.0.5-42165,Good,0.5,0.5,0.0,,,,,,,,,,85.0,113.0,,C0
ETSR2Z1E5.5APDUB,,Raritan,PX2-2497,2.3.7.5-39116,Good,5.2,,,,,,,,,,,,998.0,1061.0,,Z1E5.5(A)
ETSR2Z2C5PDUA,,Raritan,PX2-5339R,3.2.30.5-43188,Good,11.1,9.5,4.6,,,,,,,,,,2717.0,2849.0,63.1,Z2C05
ETSR2Z2C4PDUC,,Raritan,PX2-5339R,3.2.30.5-43188,Good,3.8,4.6,1.4,,,,,,,,,,1010.0,1067.0,64.2,Z2C04
ETSR2Z1E5.5BPDUA,,Raritan,PX2-5339R,3.2.30.5-43188,Good,3.9,4.6,1.4,,,,,,,,,,1018.0,1089.0,75.0,Z1E5.5(B)
seamsrpducab341,Unknown,Raritan,DPXR20-20L,1.3.5-7832,Good,1.05,,,,,,,,,,,,102.0,122.0,,3-4
ETSR2Z1E5.5APDUC,,Raritan,PX2-2497,2.3.7.5-39116,Good,5.3,,,,,,,,,,,,1032.0,1090.0,73.8,Z1E5.5(A)
seamsrpducab321,Unknown,Raritan,DPXR20-20L,1.3.5-7832,Good,3.93,,,,,,,,,,,,444.0,464.0,,3-2
ETSR2-Z1A03-PDUA,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1A03
seamsrpdu15-4-2,Unknown,Raritan,DPXS20-20L,1.3.5-7832,Good,1.35,,,,,,,,,,,,122.0,159.0,,15-4
ETSR2-Z1B02-PDUA,"San Jose, ETSR-2",Raritan,PX-5522,1.5.8-11272,Good,0.76,0.76,0.0,,,,,,,,,,146.0,159.0,,Z1B02
ETSR2-Z1A02-PDUB,Unknown,Raritan,PX-5522,1.3.5-7832,Good,4.69,6.04,4.03,,,,,,,,,,1612.0,1685.0,,Z1A02
ETSR2-Z1A01-PDUA,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,5.4,4.6,1.3,,,,,,,,,,1169.0,1211.0,,Z1A01
ETSR2-Z1A03-PDUB,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1A03
ETSR2-Z1C03-PDUB,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,5.2,4.6,5.2,,,,,,,,,,1765.0,1783.0,,Z1C03
ETSR2-Z1A01-PDUB,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,2.7,1.0,2.3,,,,,,,,,,560.0,676.0,,Z1A01
ETSR2-Z1A02-PDUA,Unknown,Raritan,PX-5522,1.3.5-7832,Good,4.46,5.89,4.13,,,,,,,,,,1612.0,1685.0,,Z1A02
ETSR2-Z1B02-PDUB,"San Jose, ETSR-2",Raritan,PX-5522,1.5.8-11272,Good,1.0,1.0,0.0,,,,,,,,,,199.0,208.0,,Z1B02
ETSR2-Z1A05-PDUA,Unknown,Raritan,PX-5522,1.3.5-7832,Good,0.84,1.46,0.84,,,,,,,,,,325.0,340.0,,Z1A05
ETSR2-Z1A05-PDUB,Unknown,Raritan,PX-5522,1.3.5-7832,Good,0.82,1.29,0.68,,,,,,,,,,284.0,311.0,,Z1A05
ETSR2-Z1C04-PDUB,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1C04
ETSR2-Z1B04-PDUB,Unknown,Raritan,PX-5522,1.4.0-9851,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1B04
ETSR2-Z1C04-PDUA,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1C04
ETSR2-Z1C03-PDUA,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,4.4,4.5,4.3,,,,,,,,,,1539.0,1559.0,,Z1C03
ETSR2-Z1B04-PDUA,Unknown,Raritan,PX-5522,1.4.0-9851,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1B04
ETSR2-Z1B03-PDUA,Unknown,Raritan,PX-5522,1.3.5-7832,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1B03
ETSR2-Z1B03-PDUB,Unknown,Raritan,PX-5522,1.3.5-7832,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1B03
